Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Integritee,https://www.crunchbase.com/organization/integritee,2021-11-29,11-50,2021-01-01,year,"Big Data, Blockchain, Collaboration","Zürich, Zurich, Switzerland",Integritee is a scalable public blockchain solution for securely processing sensitive business or personal data.,"29,689",,Active,,https://www.integritee.network/,https://twitter.com/integri_t_e_e,,https://www.linkedin.com/company/integritee/?originalSubdomain=ch,,"Integritee is a scalable public blockchain solution for securely processing sensitive business or personal data. Their platform enables collaboration between businesses on sensitive data while giving all parties control and transparency about what their data is used for. It was founded in 2021 and is based in Zurich, Switzerland.",,,4500000,USD,4500000,Series A,6500000,USD,6500000,4500000,USD,4500000,Series A,Early Stage Venture,"LD Capital, FBG Capital, Digital Finance Group, AU21 Capital",,,10,,hello@integritee.network,
Rush,https://www.crunchbase.com/organization/rush-44ce,2022-04-19,11-50,2020-05-05,day,"Apps, E-Commerce, Real Time, SaaS, Shipping","Sofia, Grad Sofiya, Bulgaria",Rush is Order Tracking & Notifier SaaS that increases store revenue and lower cost of support in post purchase cycle.,"29,730",,Active,For Profit,https://www.rush.app,https://twitter.com/tryrushapp,https://www.facebook.com/tryrushapp,https://www.linkedin.com/company/65757193,,"SaaS, Shopify App, E-Commerce.",,,2500000,EUR,2698574,Seed,2758000,EUR,2998332,2500000,EUR,2698574,Seed,Seed,"Eleven Ventures, LAUNCHub Ventures, Yair Miron, Casey Armstrong, Mihail Stoychev",,,3,"134,423",hello@rush.app,+359895080808
Collective Minds Radiology,https://www.crunchbase.com/organization/collective-minds-radiology,2021-12-21,11-50,2017-08-01,day,"Artificial Intelligence, Consulting, Health Care, Health Diagnostics, Information Technology, Internet","Stockholm, Stockholms Lan, Sweden","A cloud-based healthcare service for collaboration, consultation and access to new digital tools and human expertise.","29,844",Less than $1M,Active,For Profit,https://about.cmrad.com,https://twitter.com/CMRadiology,https://www.facebook.com/cmradiology,https://www.linkedin.com/company/cmrad,,"Collective Minds® is the new radiology workspace. A cloud-based service for collaboration, consultation and access to new digital tools and expertise. We are building the largest global network of collective and artificial intelligence, with humans and machines.",,,22500000,SEK,2464524,Seed,6727580,USD,6727580,22500000,SEK,2464524,Seed,Seed,"Brightly Ventures, Mikael Kjellman, Fredrik Dahlbeck, Annica Forsgren Kjellman, Olle Röstlund",,,8,752,info@cmrad.com,+46 (0)705 218 650
SmokeD,https://www.crunchbase.com/organization/smoked,2022-06-13,11-50,2020-03-10,day,"Artificial Intelligence, Hardware, Machine Learning, Public Safety, Software","Warsaw, Mazowieckie, Poland","Hardware Embedded SaaS, AI, deep learning, machine learning  - the newest technology for wildfire detection","29,849",,Active,For Profit,https://smokedsystem.com,,https://www.facebook.com/smoked.system,https://www.linkedin.com/company/itfornature,,,,,2500000,USD,2500000,Convertible Note,1200000,USD,1200000,1200000,USD,1200000,Seed,Seed,"EEC Ventures, KnowledgeHub",,,7,,artur@smokedsystem.com,+48691779415
Sarus,https://www.crunchbase.com/organization/sarus-1f2d,2022-04-15,11-50,2019-12-17,day,"Analytics, Machine Learning, Privacy, Software","Paris, Ile-de-France, France",Privacy preserving analytics & machine learning,"29,872",Less than $1M,Active,For Profit,https://sarus.tech,https://twitter.com/Sarus_tech,,https://www.linkedin.com/company/sarus-technologies,,"Sarus solves the access and sharing of personal data for analytics or machine learning.  It deploys natively in data infrastructures and lets practitioners work on data they cannot see while protecting everything with the highest standard of privacy: differential privacy. Sarus makes traditional anonymization methods irrelevant, saving months in compliance and data engineering while preserving all of the value of data. Data practitioners no longer need to go through a process-heavy and value-impacting anonymization phase to start data projects and can leverage the full data with mathematical privacy guarantees in minutes. Sarus takes the data confidentiality risk out of collaboration projects across lines of business, geographic borders or with external partners.",,,,,,Seed,2161400,USD,2161400,,,,Seed,Seed,"XAnge, AGORANOV, FAST — by GETTYLAB, Didier Valet, Serena",,,25,"1,420",contact@sarus.tech,
Beev,https://www.crunchbase.com/organization/beev,2022-01-25,11-50,2020-01-01,year,"E-Commerce, Electric Vehicle, Marketplace, SaaS","Paris, Ile-de-France, France",Electric cars for everyone,"29,971",,Active,For Profit,https://beev.co/,,,https://www.linkedin.com/company/beev/?viewAsMember=true,,,,,1500000,EUR,1695474,Seed,1500000,EUR,1695475,1500000,EUR,1695474,Seed,Seed,Via ID,,,13,"122,812",solal@beev.co,
Helvengo,https://www.crunchbase.com/organization/helvengo,2022-01-27,11-50,2020-01-01,year,"Artificial Intelligence, Commercial Insurance, Insurance, InsurTech","Zürich, Zurich, Switzerland",Helvengo provides digital insurance solutions for small and medium-sized companies.,"30,081",,Active,For Profit,https://helvengo.ch/,,,https://www.linkedin.com/company/helvengo/,,Helvengo's digital MGA model offers 360°-SME insurance solutions. SMEs and their advisors benefit from an end-to-end digital process including an AI-based risk analysis to unveil potential coverage gaps and automated quote calculations providing real-time offers.,,,4200000,CHF,4511278,Seed,4511278,USD,4511278,4200000,CHF,4511278,Seed,Seed,"Plug and Play Tech Center, Dr. Cornelius Boersch, PostFinance, Conny & Co, Hypoport AG",,,10,927,info@helvengo.com,+41 (0)44 500 9496
Orbisk,https://www.crunchbase.com/organization/orbisk,2021-10-14,11-50,2019-03-15,day,"Artificial Intelligence, Consulting, Food Processing, Machine Learning, Waste Management","Utrecht, Utrecht, The Netherlands",Orbisk delivers innovative solutions for the world food system to reduce food waste.,"30,272",Less than $1M,Active,For Profit,https://orbisk.com/en/,,https://www.facebook.com/Orbiskzerofoodwaste,https://www.linkedin.com/company/orbisk/,,"Fully automated food waste monitoring. We outfit your waste bin with a scale and a smart camera. The camera runs an AI image recognition algorithm that recognises ingredients from images. Effortlessly, we register what food is wasted and why. By means of action-oriented dashboarding, you'll be able to find and optimize the inefficiencies in your food providing process, saving thousands of kilo's of food yearly, improving sustainability and profitability!",,,2400000,EUR,2781695,Grant,1485000,EUR,1716269,1050000,EUR,1234051,Seed,Seed,"European Commission, PeakBridge, BOM Brabant Ventures, EIT Food, DOEN Participaties",,,8,"11,176",info@orbisk.com,+31 30 227 0650
Bequest,https://www.crunchbase.com/organization/bequest,2022-02-01,11-50,2019-12-17,day,"Funerals, Insurance, InsurTech, Life Insurance","London, England, United Kingdom",We're building an advanced way for millions of people to protect themselves and their loved ones.,"30,305",Less than $1M,Active,For Profit,https://bequest.com,https://twitter.com/getbequest,https://www.facebook.com/getbequest,https://www.linkedin.com/company/getbequest,,No-nonsense life cover in just a few minutes.,,,1500000,USD,1500000,Venture - Series Unknown,4035000,USD,4035000,1500000,USD,1500000,Venture - Series Unknown,,"Founders Factory, Clocktower Technology Ventures, Chris Adelsbach, Serge Chiaramonte, Form Ventures",,,10,"1,002",alexa@bequest.com,0203 916 5433
HH2E,https://www.crunchbase.com/organization/hh2e,2022-05-16,11-50,2021-01-01,year,"Electronics, Industrial Manufacturing, Manufacturing, Renewable Energy","Hamburg, Hamburg, Germany",The HH2E is a Semiconductor Manufacturing company.,"30,314",,Active,For Profit,https://www.hh2e.de,https://twitter.com/HH2e2,https://www.facebook.com/hh2ede,https://www.linkedin.com/company/hh2e,,"The HH2E plant converts a variable feed of solar and wind energy into a stable supply. With low-cost zero-carbon heat, green hydrogen and electricity for local industries and communities.",,,12000000,EUR,12526736,Series A,12000000,EUR,12526737,12000000,EUR,12526736,Series A,Early Stage Venture,"Foresight Group, HydrogenOne Capital",,,,,info@hh2e.de,
Unkle,https://www.crunchbase.com/organization/unkle,2022-01-14,11-50,2018-06-26,day,"Credit, Insurance, InsurTech, Real Estate","Paris, Ile-de-France, France",Unkle is a one-stop-shop insurtech insurance for real estate. Renting made easier,"30,325",Less than $1M,Active,For Profit,https://www.unkle.fr,https://twitter.com/Unkle_tech,https://www.facebook.com/unkle.fr/,https://www.linkedin.com/company/unkle-tech/,,"Unkle is a one-stop-shop Insurtech startup for real estate. Unkle distributes 4 insurance products :  A renter guarantee - a product created with an insurer - which offers renters to be their guarantor for a fee; A landlord guarantee : an insurance taken by landlords to protect their housing against unpaid rents A Home Insurance An Owner Insurance Unkle's mission is to facilitate housing and make renting easier. Unkle is headquartered in Paris, France. Unkle est un broker digital (MGA) concevant les meilleurs produits d'assurance avec les assureurs pour leurs clients (B2C) et leurs partenaires (B2B2C). Unkle distribue 4 produits : - La garantie locataire : Unkle devient le garant des locataires qui sécurise gratuitement les propriétaires contre les loyers impayés. Chaque locataire peut avoir Unkle en tant que garant en moins de 3 minutes sur https://www.unkle.fr et avoir 10 fois plus de chances de louer son logement. - une assurance loyers impayés pour les propriétaires pour les protéger contre les loyers impayés - une assurance habitation - une assurance propriétaire non occupant",,,10000000,EUR,11415303,Series A,11000000,EUR,12548554,10000000,EUR,11415303,Series A,Early Stage Venture,"Alma Mundi Ventures, Wilco, Anaxago, Guillaume Lestrade, InnovAllianz",,,10,"24,007",hello@unkle.fr,+33 7 66 30 10 93
Quantee,https://www.crunchbase.com/organization/quantee,2022-05-12,11-50,2018-11-01,month,"Artificial Intelligence, B2B, Insurance, InsurTech, SaaS, Software","Warsaw, Mazowieckie, Poland",SaaS AI-based dynamic insurance pricing,"30,343",,Active,For Profit,https://quantee.ai/,https://twitter.com/quanteeAI,https://www.facebook.com/quanteeAI,https://www.linkedin.com/company/quantee/,,"Quantee offers ActuAI - a SaaS Platform bringing the power of AI and startup agility to insurance pricing.  ActuAI a super easy-to-use, flexible and scalable solution enabling insurance companies to build and manage the most competitive pricing up to 10x faster.",,,700000,USD,700000,Seed,700000,USD,700000,700000,USD,700000,Seed,Seed,"FundingBox Deep Tech Fund, Nunatak Capital, National Center for Research & Development",,,7,829,contact@quantee.ai,
Zesty.co,https://www.crunchbase.com/organization/zesty-co,2021-11-15,101-250,2019-01-01,day,"Big Data, Cloud Infrastructure, Cloud Management, Information Technology, SaaS","Giv'atayim, Tel Aviv, Israel",Zesty is a real-time cloud management platform that automatically and seamlessly adjusts cloud infrastructure to meet the application needs.,"30,374",$10M to $50M,Active,For Profit,https://zesty.co,https://twitter.com/zesty_co,https://www.facebook.com/zestyhq,https://www.linkedin.com/company/zestyco,,"Zesty is the world’s first AI-driven cloud management technology that auto-scales cloud resources to fit real-time application needs. As today’s cloud environments become increasingly dynamic, Zesty automates cloud efficiency, improves DevOps productivity, and reduces cloud costs with zero human input. As a result, DevOps engineers no longer need to spend time on repetitive, and mundane infrastructure management tasks and can enjoy the cloud’s flexibility and scalability without worrying about cost or maintenance concerns. Zesty was founded in 2019 in Tel Aviv and is used by leading organizations such as Armis, Gong, Yotpo, and others. For more information, visit Zesty.co.",,,35000000,USD,35000000,Series A,42200000,USD,42200000,35000000,USD,35000000,Series A,Early Stage Venture,"Sapphire Ventures, Samsung NEXT, S Capital, Next47, M-Fund Club",,,7,"13,669",Info@zesty.co,
Dawul,https://www.crunchbase.com/organization/dawl,2022-01-09,11-50,2020-01-01,year,"Financial Services, FinTech, Predictive Analytics","Riyadh, Ar Riyad, Saudi Arabia",Dawul is a platform that allows investors to share details of the financial status of their portfolios with other investors.,"30,479",,Active,For Profit,https://dawul.net/,https://twitter.com/dawulapp,,https://www.linkedin.com/company/missaan-fintech/about/,,Dawul is a platform that allows investors to share details of the financial status of their portfolios with other investors.,,,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,Seed,Seed,"SEEDRA, Raed Ventures, Sukna Ventures, Impact46, Derayah Venture Capital",,,8,"1,739",info@dawul.net,+966-505-839-717
Mowico,https://www.crunchbase.com/organization/mowico,2022-01-19,11-50,2020-01-07,day,"E-Commerce, Software","London, England, United Kingdom","Mowico enables e-commerce businesses to create no-code native mobile apps; with unlimited features, and third-party integrations.","30,481",,Active,For Profit,https://mowico.com,,,https://www.linkedin.com/company/mowico/,,"For ambitious e-commerce businesses around the world; we developed the most advanced tool to create a mobile app as powerful and as simple as possible.  We know how long, tiring, and frustrating mobile app projects are. This is why our solution is geared towards mobilizing your business in three steps; without any coding knowledge!",,,1375000,EUR,1559593,Venture - Series Unknown,3259593,USD,3259593,1375000,EUR,1559593,Venture - Series Unknown,M&A,"Mangrove Capital Partners, Sina Afra, Muhterem Senel, T-mob",,,8,"1,469",info@mowico.com,+44 7441 427276
Citibeats,https://www.crunchbase.com/organization/citibeats,2021-11-18,11-50,2018-01-01,month,"Analytics, GovTech, Information Services, Machine Learning, Public Safety, Risk Management, SaaS, Software","Barcelona, Catalonia, Spain",Citibeats is an augmented text analytics platform that helps companies and governments understand citizens’ needs in real-time,"30,662",$1M to $10M,Active,For Profit,https://citibeats.com/,https://twitter.com/theCitibeats,https://www.facebook.com/thecitibeats/,https://www.linkedin.com/company/citibeats/,,"Citibeats is a social data platform that helps multilateral organizations, governments, and private companies understand societal changes at scale, in real-time, guiding decision-makers to take the most timely and necessary actions. As an Artificial Intelligence platform with proprietary Natural Language Processing technology and Machine Learning algorithms, it unlocks the analysis of big data about human behavior and turns it into actionable insights - regardless of the language, data source, or structure of the text. This makes it possible to get accurate assessments in real-time of how certain issues, policies, or current events are affecting a society’s citizens and what their opinions of them are. The results can be delivered up to 90 days earlier than traditional methods - like media, polls, or surveys - which help organizations manage emerging risks and detect early warnings on critical issues. The Sustainability and Social Risk Monitors launched in 2022 are the first affordable tools to uncover trends from millions of voices in real time, enabling clients to detect and contextualize social changes. The new subscription-based model has been conceived to help organizations around the globe rapidly and easily understand citizens’ questions, needs, and concerns around topics like climate change, biodiversity, sustainable cities, migration, citizen security, employment and entrepreneurship, and more. In only 2 years we have built and scaled proprietary technology based on NLP & ML algorithms that unlock the augmented analysis of unstructured data about human behavior. It’s through this technology that we deliver the best social data platform on the market in a massively scalable way.  Citibeats has been recognized internationally with prestigious awards such as: - The United Nations World Summit Awards; - The COGx for the best Artificial Intelligence for public services. - The NTT Open Innovation contest (that gave us the opportunity to work and develop a project with NTT Data)  In 2021, Citibeast was one of the first four tech companies to have implemented the fAIr LAC self-assessment tool. We are growing in Europe, LATAM, and Japan through the best-in-class partners, positioning Citibeats as the ethical AI designed for respectful, inclusive, and responsive social understanding.",,,500000,EUR,568392,Seed,4000000,EUR,4593674,500000,EUR,568392,Seed,Seed,"Wayra, Everis Group, IDB Lab, Bankinter, CAF",,,6,152,go@citibeats.net,+34 937 825 152
Qawafel,https://www.crunchbase.com/organization/qawafel,2022-03-13,51-100,2020-01-01,year,"B2B, E-Commerce, Internet, Marketplace, Retail, Wholesale","Riyadh, Ar Riyad, Saudi Arabia",Qawafel is an online marketplace that offers food products.,"30,693",Less than $1M,Active,For Profit,https://qawafel.sa,https://twitter.com/qawafelsa,https://www.facebook.com/Qawafel-100249515460659/,https://www.linkedin.com/company/qawafelsa/,,Qawafel Company for E-Marketing is an electronic platform for the exchange of perishable food products between shops and producers. It is a platform for e-commerce for food suppliers and retailers.,,,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,Seed,Seed,"Khwarizmi Ventures, Alsayer Group",,,11,"3,166",hello@qawafel.sa,+966551550315
Karshare,https://www.crunchbase.com/organization/karshare,2021-08-09,11-50,2020-01-01,year,"Car Sharing, Rental","London, England, United Kingdom",Karshare is a community car-sharing platform.,"30,712",,Active,,https://karshare.com/,https://twitter.com/KarShare_UK,https://www.facebook.com/Karshare/,https://www.linkedin.com/company/karshare/about/,,Karshare is a community car-sharing platform.,,,3000000,GBP,4153950,Seed,4353260,GBP,5962682,3000000,GBP,4153950,Seed,Seed,"Pario Ventures, Nigel Wray, Adjuvo, Fullbrook Thorpe Investments",,,10,"39,505",help@karshare.com,+44 (0) 208 051 4920
Coastr,https://www.crunchbase.com/organization/nuvven,2022-01-03,11-50,2018-05-08,day,"Artificial Intelligence, Auto Insurance, Car Sharing, Software, Travel","Edinburgh, Edinburgh, City of, United Kingdom",Coastr provides car rentals to establish trust & customer delight by small car hire agencies using an AI driven marketplace platform.,"30,729",,Active,For Profit,http://www.coastr.com,https://twitter.com/CoastrOfficial,https://www.facebook.com/CoastrOfficial,https://www.linkedin.com/company/coastrofficial,,"Coastr is redefining the car rental model and bringing trust, care and innovation into a broken industry, using a 2-sided marketplace platform powered by Artificial Intelligence and IoT that fully digitises and connects smaller car hire companies to end customers to deliver a 21st century, frictionless car hire experience.",,,575000,GBP,775237,Seed,1975000,GBP,2687386,575000,GBP,775237,Seed,Seed,"Newchip, GroVentive",,,6,741,info@coastr.com,+44 (0) 800 689 5687
Responsible,https://www.crunchbase.com/organization/responsible,2022-01-10,11-50,2021-01-01,year,"E-Commerce, Fashion","Belfast, Belfast, United Kingdom",Responsible has developed a re-commerce finance platform for retailers to extend the lifespan of their products.,"30,935",,Active,For Profit,https://www.responsible.us/,https://twitter.com/WearResponsible,https://www.facebook.com/Wear.Responsible/,https://www.linkedin.com/company/responsible-clothing/,,Responsible has developed a re-commerce finance platform for retailers to extend the lifespan of their products.,,,6600000,USD,6600000,Seed,6600000,USD,6600000,6600000,USD,6600000,Seed,Seed,"Barclays Corporate Banking, Techstart Ventures, Sarah Friar, Rafał Brzoska",,,9,"6,951",,028 9568 3595
Trickest,https://www.crunchbase.com/organization/trickest,2021-08-13,11-50,2020-04-28,day,"Cloud Security, Cyber Security, Network Security, Penetration Testing","Belgrade, Vojvodina, Serbia","Enabling bug bounty hunters, penetration testers, and SecOps teams to build and automate workflows from start to finish.","31,025",,Active,For Profit,https://trickest.com,https://twitter.com/trick3st,https://www.facebook.com/trick3st,https://www.linkedin.com/company/trickest/,,"Enabling bug bounty hunters, penetration testers, and SecOps teams to build and automate workflows from start to finish. Powered by the world's most advanced crowdsourced intelligence.",,,1700000,USD,1700000,Seed,1700000,USD,1700000,1700000,USD,1700000,Seed,Seed,"Earlybird Venture Capital, Credo Ventures, ICT Hub Venture, Daniel Dines",,,11,"1,961",office@trickest.com,
Cube RM,https://www.crunchbase.com/organization/cube-rm,2021-12-14,11-50,2018-01-01,year,"Artificial Intelligence, Computer, Life Science, Machine Learning, Medical Device, Natural Language Processing, Pharmaceutical, Software","Zürich, Zurich, Switzerland",Cube RM offers an AI Tender & Contracting Management SaaS suite helping enterprises to accelerate revenue growth and productivity,"31,075",,Active,For Profit,http://cuberm.com,,https://www.facebook.com/Cube-RM-1849869028601393/,https://www.linkedin.com/company/17945267/,,Cube RM empowers large enterprises to accelerate revenue growth and be more productive in the process by offering a Revenue Management & Optimization software suite including an intuitive  Tender management & CPQ system with integrated pricing guidance. Leveraging state of the art technologies like Natural Language Processing and Machine Learning and software automation to help companies efficiently create and evaluate sales quotes & tender proposals and identify optimum pricing.,,,8000000,USD,8000000,Series A,9000000,USD,9000000,8000000,USD,8000000,Series A,Early Stage Venture,"Runa Capital, Marathon Venture Capital",,,7,130,george.boretos@cuberm.com,+30 210 2825003
Goldilock,https://www.crunchbase.com/organization/goldilock,2021-11-01,11-50,2017-08-01,month,"Cyber Security, Data Storage, Identity Management, Information Technology","London, England, United Kingdom",Data and Critical Infrastructure Security,"31,173",,Active,For Profit,https://www.goldilock.com,https://twitter.com/GoldilockSecure,,https://www.linkedin.com/company/goldilocksecure,,"Patented Goldilock is the only technology on earth that allows individuals and institutions to physically disconnect and connect data and devices to & from the internet, in seconds, from anywhere on earth, with no human intervention - and WITHOUT using the internet. That's right. Goldilock has created a complete non-IP back channel, available to you and your organization, without purchasing specialty personal devices or going through complex training. Goldilock keeps your data completely isolated from the internet, invisible and un-findable to hackers. For your enterprise Goldilock can ensure your data backups are clean and isolated in case of ransomware or other cyber intrusions. Goldilock's Autotomy product allows network administrators to isolate devices and network architecture, in seconds, to mitigate attacks, zero-day incidents and other cyber threats.",,,1000000,USD,1000000,Seed,3420000,USD,3420000,1000000,USD,1000000,Seed,Seed,,,,16,,info@goldilock.com,
Circulate,https://www.crunchbase.com/organization/circulate,2021-09-16,11-50,2021-04-01,month,"B2B, E-Commerce, Marketplace, Packaging Services, Procurement, Recycling, Sustainability","Stockholm, Stockholms Lan, Sweden",Sourcing platform and B2B marketplace for sustainable packaging for SMEs,"31,253",,Active,For Profit,https://www.circulate8.com/,,,https://www.linkedin.com/company/circulate8,,"Circulate is a sourcing platform guiding small businesses to the most sustainable and high-performing packaging. We digitalize, automize and simplify the purchasing and reordering process and add financing solutions to overcome high MOQ. We help track packaging consumption and environmental impact, continuously suggesting potential improvements. Through our B2B marketplace we aggregate and create transparency of all the great green packaging alternatives out there, increasing comparability and ensuring everyone finds what they are looking for. No more excuses!",,,1300000,EUR,1529904,Pre-Seed,1300000,EUR,1529905,1300000,EUR,1529904,Pre-Seed,Seed,"Antler, J12 Ventures, Susanna Campbell, Borja Moreno de Los Rios, DHS Venture Partners",,,10,"11,411",info@circulate8.com,
Recycleye,https://www.crunchbase.com/organization/recycleye,2021-09-22,11-50,2019-09-23,day,"Analytics, Machine Learning","London, England, United Kingdom",Recycleye is a developer of digital tools designed to detect and provide analytics on waste management.,"31,289",$10M to $50M,Active,For Profit,https://recycleye.com/,https://twitter.com/recycleye,https://www.facebook.com/recycleye,https://www.linkedin.com/company/recycleye/,,"Recycleye is a developer of digital tools designed to detect and provide analytics on waste management. The company's tools specialize in machine learning tools to enable smarter characterization, ubiquitous tracking, and automated sorting of waste, enabling users to accelerate the transition towards a circular economy.",,,3500000,GBP,4765704,Seed,4700000,GBP,6379388,3500000,GBP,4765704,Seed,Seed,"MMC Ventures, Promus Ventures, Playfair Capital, Atypical Ventures, Creator Fund",,,8,,hello@recycleye.com,
Ascendance Flight Technologies,https://www.crunchbase.com/organization/ascendance-flight-technologies,2021-09-15,11-50,2018-01-12,day,"Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation","Toulouse, Midi-Pyrenees, France",Sustainable flight solutions for today & tomorrow... Because cleaner aviation can't wait!,"31,538",,Active,For Profit,https://www.ascendance-ft.com,https://twitter.com/ascendance_ft,,https://www.linkedin.com/company/ascendance-ft/,,"At Ascendance we are building tomorrow’s flying taxi: Atea, a unique Vertical Take-Off and Landing (VTOL) aircraft with a hybrid propulsion system. We believe that the future of mobility will include the sky and that operational fit will be key to support the emergence of this market.  Therefore we focused our efforts in designing an innovative, safe, silent, clean and affordable aircraft that will be able to blend into existing infrastructures and regulations to ease its deployment and maximise social acceptance.",,,10000000,EUR,11819506,Venture - Series Unknown,10000000,EUR,11819507,10000000,EUR,11819506,Venture - Series Unknown,,"Bpifrance, Kima Ventures, AGORANOV, Wilco, AA Sons",,,10,"1,213",contact@ascendance-ft.com,
Meep,https://www.crunchbase.com/organization/meep-5e25,2021-07-20,51-100,2017-11-29,day,"Logistics, Smart Cities, Software, Transportation","Madrid, Madrid, Spain",Mobility integrator that enables citizens to move around the city seamlessly,"31,559",$10M to $50M,Active,For Profit,https://www.meep.app/,https://twitter.com/bemeeper,https://www.facebook.com/bemeeper/,https://www.linkedin.com/company/bemeeper/,,"We always dream about faster, easier commutes. Then, the alarm goes off, we yawn and struggle with the reality of running to catch the bus, inaccurate schedules, standstill traffic and general disorder. We are here to change that and forever change the way you think about moving around. With Meep, you will experience a new way to travel and these struggles will become a thing of the past. It is time to shift away from the car-centric mindset towards a multimodality approach. Meep has created a new mobility paradigm through which we provide easy access to the most appropriate modes of transport – customized for you, based on your needs and your preferences. Remove today’s obstacle with us and become a Meeper. Don’t struggle. Get Meep.",,,3000000,EUR,3534772,Series A,8500000,EUR,10101220,3000000,EUR,3534772,Series A,Early Stage Venture,"Liil Ventures, Globalvia, Family Office",,,9,338,info@meep.me,
Carasti Car Subscriptions,https://www.crunchbase.com/organization/carasti,2022-03-22,11-50,2019-06-10,day,"Apps, Car Sharing, E-Commerce, Subscription Service","Dubai, Dubai, United Arab Emirates",Carasti is an on-demand monthly car subscription app that offers affordable and flexible all-inclusive automotive services.,"31,721",,Active,For Profit,http://www.carasti.com,,https://www.facebook.com/carastiofficial/,http://www.linkedin.com/company/carasti,,"Carasti is an on-demand monthly car subscription app that offers affordable and flexible all-inclusive automotive services. The subscription model allows customers to swap, upgrade, or downgrade their vehicles easily and without a long-term commitment. The marketplace business model provides a simple and efficient platform through which fleet partners can manage and monetize their fleet. Carasti Car Subscriptions enables people to have access to cars that is easy, seamless, and convenient.",,,2000000,USD,2000000,Convertible Note,3000000,USD,3000000,3000000,USD,3000000,Seed,Seed,"Net Ventures, Rua Growth Fund",,,29,"2,089",info@carasti.com,
SustainCERT,https://www.crunchbase.com/organization/sustaincert,2021-10-28,11-50,2018-01-01,year,"Innovation Management, Product Design, Retail Technology","Luxembourg, Luxembourg, Luxembourg",SustainCERT is the leading global carbon emissions accounting and verification platform for carbon markets and corporate value chains.,"31,755",,Active,For Profit,https://www.sustain-cert.com/,https://twitter.com/Sustain_CERT,,https://www.linkedin.com/company/sustaincert/,,,,,8600000,EUR,10046834,Venture - Series Unknown,8600000,EUR,10046835,8600000,EUR,10046834,Venture - Series Unknown,,"Microsoft Climate Innovation Fund, Innovacom, Citizen Capital",,,2,"28,579",,
Primer,https://www.crunchbase.com/organization/primer-e1ea,2021-10-19,51-100,2020-01-01,month,"E-Commerce, FinTech, Mobile Payments, Payments, Software","London, England, United Kingdom",The automation platform for payments. End-to-end payment flows with no code.,"31,758",$1M to $10M,Active,For Profit,https://primer.io/,https://twitter.com/primer_io,,https://www.linkedin.com/company/primerapi/,,"Primer is the world's first automation platform for payments, offering merchants the underlying infrastructure they need to build better buying experiences for their customers. For the first time, merchants can connect and control their entire payments stack, and build their ideal payment flows autonomously from scratch. Plug-in any desired payment solution with 1-click connections, define logic across the entire payment lifecycle with a drag-and-drop workflow editor, and create seamless, “smart” checkout experiences that meet today’s customer expectations. Primer also creates an open distribution channel for services right across the payments landscape to go-to-market. Any developer can build a connection on Primer; merchants then simply 'click and connect' to the services they need to build their desired payment flows within their Primer dashboard, requiring no additional code. Live connections include Checkout.com, Stripe, WorldPay, as well as early adopters Klarna, Riskified, Stitch Data, and GoCardless. Primer was launched in early 2020 by Paul Anthony and Gabriel Le Roux, former Braintree/Paypal colleagues. The fully remote company, which now operates in over 20 countries, has raised over $74M and is backed by Iconiq, Accel, Balderton, Seedcamp, Speedinvest, and RTP Global.",,,50000000,USD,50000000,Series B,73410287,USD,73410287,50000000,USD,50000000,Series B,Early Stage Venture,"Seedcamp, RTP Global, Accel, Kima Ventures, Speedinvest",,,13,"463,253",hello@primer.io,
